YEAR	Month	Max Temp
1953	1	26.7
1953	2	33.6
1953	3	37.5
1953	4	37.7
1953	5	34.7
1953	6	34.1
1953	7	34.8
1953	8	32.9
1953	9	33.8
1953	10	32.3
1953	11	30.3
1953	12	29.4
1954	1	29.2
1954	2	33.6
1954	3	37.3
1954	4	36.9
1954	5	37.3
1954	6	32.8
1954	7	32.3
1954	8	32.8
1954	9	34.2
1954	10	33.1
1954	11	29.9
1954	12	29.1
1955	1	27.4
1955	2	32.9
1955	3	36.2
1955	4	35.8
1955	5	36.6
1955	6	33.7
1955	7	32.3
1955	8	32.3
1955	9	33.8
1955	10	33.9
1955	11	31.3
1955	12	28.2
1956	1	28
1956	2	34.1
1956	3	36.2
1956	4	37.7
1956	5	34.1
1956	6	32.3
1956	7	33
1956	8	32.3
1956	9	33.3
1956	10	33.7
1956	11	30.4
1956	12	28.1
1957	1	28
1957	2	30.8
1957	3	35.8
1957	4	37.7
1957	5	37.2
1957	6	34.6
1957	7	32.7
1957	8	35.9
1957	9	34.8
1957	10	32.9
1957	11	30.6
1957	12	28.8
1958	1	30.6
1958	2	31
1958	3	36.6
1958	4	37.3
1958	5	36.1
1958	6	35.9
1958	7	33.8
1958	8	33.4
1958	9	33.4
1958	10	33.9
1958	11	33.1
1958	12	29.6
1959	1	29.1
1959	2	31
1959	3	37.7
1959	4	37.7
1959	5	35.5
1959	6	34.8
1959	7	33.3
1959	8	33.4
1959	9	33.4
1959	10	32.2
1959	11	29.7
1959	12	27.4
1960	1	27.4
1960	2	34.3
1960	3	37.1
1960	4	37.7
1960	5	37.6
1960	6	34.2
1960	7	33.1
1960	8	33.3
1960	9	33.7
1960	10	33.4
1960	11	28.9
1960	12	28.7
1961	1	29.2
1961	2	31.7
1961	3	36.3
1961	4	37.2
1961	5	36.6
1961	6	35.1
1961	7	34.3
1961	8	32.8
1961	9	33.6
1961	10	32.6
1961	11	30.6
1961	12	31
1962	1	29.3
1962	2	31.6
1962	3	37.4
1962	4	37.2
1962	5	35.9
1962	6	35
1962	7	35.1
1962	8	32.7
1962	9	33.6
1962	10	32.5
1962	11	31.1
1962	12	28
1963	1	28.1
1963	2	33.1
1963	3	36.1
1963	4	37.2
1963	5	34.9
1963	6	34.7
1963	7	32.7
1963	8	32.7
1963	9	34.9
1963	10	33.2
1963	11	31.1
1963	12	28.2
1964	1	29.9
1964	2	34.7
1964	3	36.7
1964	4	36.7
1964	5	36.7
1964	6	34.9
1964	7	32.6
1964	8	32.8
1964	9	34.3
1964	10	32.9
1964	11	30.6
1964	12	28.3
1965	1	28.6
1965	2	31.6
1965	3	35.8
1965	4	37.3
1965	5	36.6
1965	6	34.2
1965	7	32.4
1965	8	33.4
1965	9	33.3
1965	10	32.9
1965	11	32.6
1965	12	28.9
1966	1	26.3
1966	2	30.3
1966	3	33.9
1966	4	37.6
1966	5	37.6
1966	6	35.6
1966	7	32.8
1966	8	32.8
1966	9	34.1
1966	10	31.9
1966	11	30.5
1966	12	27.2
1967	1	27.2
1967	2	33.6
1967	3	34.9
1967	4	37.7
1967	5	36.1
1967	6	35.4
1967	7	32.8
1967	8	33.9
1967	9	32.7
1967	10	33.3
1967	11	29.9
1967	12	28.3
1968	1	27.2
1968	2	31.6
1968	3	36.9
1968	4	37.7
1968	5	36.9
1968	6	33.1
1968	7	33.3
1968	8	34.2
1968	9	35.3
1968	10	32.8
1968	11	31.2
1968	12	29.4
1969	1	28.3
1969	2	35.1
1969	3	35.8
1969	4	37.2
1969	5	37.1
1969	6	34.2
1969	7	32.8
1969	8	33.3
1969	9	34.4
1969	10	32.8
1969	11	32.2
1969	12	27.8
1970	1	27.8
1970	2	32.3
1970	3	37.2
1970	4	36.9
1970	5	37.2
1970	6	34.4
1970	7	34.2
1970	8	34.2
1970	9	33.3
1970	10	32.9
1970	11	30.9
1970	12	27.8
1971	1	26.7
1971	2	31.6
1971	3	33.9
1971	4	34.7
1971	5	35.3
1971	6	32.8
1971	7	33.3
1971	8	32.7
1971	9	33.8
1971	10	32.8
1971	11	30.2
1971	12	27.7
1972	1	30.5
1972	2	31.7
1972	3	36.7
1972	4	36.8
1972	5	36.1
1972	6	35.2
1972	7	35.6
1972	8	32.4
1972	9	34.6
1972	10	33.8
1972	11	31.1
1972	12	30.9
1973	1	31.2
1973	2	33.6
1973	3	36.3
1973	4	37.7
1973	5	33.3
1973	6	33.5
1973	7	31.6
1973	8	32.9
1973	9	36.7
1973	10	33.2
1973	11	30.6
1973	12	26.7
1974	1	26.3
1974	2	30.3
1974	3	33.9
1974	4	34.7
1974	5	33.4
1974	6	32.9
1974	7	31.6
1974	8	31.8
1974	9	32.2
1974	10	32
1974	11	30.6
1974	12	27.7
1975	1	27.2
1975	2	31.9
1975	3	37.2
1975	4	37.6
1975	5	36.7
1975	6	34.9
1975	7	32.2
1975	8	34.4
1975	9	33.4
1975	10	33.2
1975	11	30.2
1975	12	26.8
1976	1	29.2
1976	2	32.8
1976	3	37
1976	4	37.6
1976	5	36.2
1976	6	33.9
1976	7	32.4
1976	8	32.8
1976	9	33.9
1976	10	33.1
1976	11	32.4
1976	12	28.7
1977	1	27.4
1977	2	32.3
1977	3	35.6
1977	4	33.3
1977	5	34.7
1977	6	33.8
1977	7	33.6
1977	8	34.4
1977	9	35
1977	10	32.2
1977	11	31.9
1977	12	29.4
1978	1	34.2
1978	2	33
1978	3	36.1
1978	4	37.2
1978	5	35.3
1978	6	33.3
1978	7	32.9
1978	8	33.8
1978	9	33.6
1978	10	33.4
1978	11	32.9
1978	12	29.8
1979	1	28.3
1979	2	31.1
1979	3	36.6
1979	4	37.3
1979	5	37.4
1979	6	37.3
1979	7	33.9
1979	8	35.1
1979	9	34.2
1979	10	32.7
1979	11	31.8
1979	12	27.2
1980	1	28.9
1980	2	32.2
1980	3	36.2
1980	4	37.2
1980	5	35.4
1980	6	36.7
1980	7	32.8
1980	8	33.6
1980	9	33.6
1980	10	32.5
1980	11	31.7
1980	12	28.9
1981	1	27.8
1981	2	32.9
1981	3	34
1981	4	35.4
1981	5	35
1981	6	35.9
1981	7	33.3
1981	8	36.5
1981	9	35
1981	10	33.4
1981	11	33.1
1981	12	29
1982	1	30.1
1982	2	30.3
1982	3	36.1
1982	4	37.8
1982	5	38.3
1982	6	36.6
1982	7	34.8
1982	8	33.2
1982	9	34.8
1982	10	34.4
1982	11	32.1
1982	12	27.2
1983	1	28.1
1983	2	31.7
1983	3	36.2
1983	4	37.8
1983	5	36.4
1983	6	35.6
1983	7	34.4
1983	8	33.6
1983	9	33.1
1983	10	33.6
1983	11	32.8
1983	12	28.8
1984	1	27.2
1984	2	33
1984	3	38
1984	4	37.6
1984	5	35.8
1984	6	35.8
1984	7	32.5
1984	8	35.4
1984	9	34.5
1984	10	34
1984	11	31.8
1984	12	30
1985	1	29.4
1985	2	32.4
1985	3	37.8
1985	4	35.8
1985	5	35.1
1985	6	35
1985	7	34.3
1985	8	34.7
1985	9	35
1985	10	35.5
1985	11	33.3
1985	12	30.6
1986	1	30
1986	2	32.3
1986	3	39.5
1986	4	38
1986	5	37.2
1986	6	36.8
1986	7	34.5
1986	8	36
1986	9	34.5
1986	10	33.9
1986	11	33.1
1986	12	29
1987	1	29.8
1987	2	34
1987	3	38.6
1987	4	39.5
1987	5	38
1987	6	40.8
1987	7	34.1
1987	8	34.7
